Smiles,Tg(C)
*C(C*)c1ccc(cc1)CCCCCCCCC,-53
*C(C*)c1ccc(cc1)CCCCCCCCCC,-65
*C(C*)c1ccc(cc1)CCCCCCCCCCCC,-52
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,-36
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,4.5
*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,32
*C(C*)c1ccc(cc1)c1ccccc1,161
*C(C*)c1ccc(cc1)COCCOCC,0
*C(C*)c1ccc(cc1)C#N,180
*C(C*)c1ccc(cc1)Cl,119.38
*C(C*)c1ccc(cc1)Br,132.66
*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,42
*C(C*)c1ccc(cc1)C(=NO)C,134
*C(C*)c1ccc(cc1)C(O)(C)C,165
*C(C*)c1ccc(cc1)C(CC)(O)C,186
*C(C*)c1ccc(cc1)C(CCC)(O)C,130
*C(C*)c1ccc(cc1)C(CCCC)(O)C,82.5
*C(C*)c1ccc(cc1)C(CCCCC)(O)C,92.5
*C(C*)c1ccc(cc1)C(CCN(C)C)O,43
*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,54
*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,50
*C(C*)c1ccc(cc1)COC,77
*C(C*)c1ccc(cc1)COCCO,46
*C(C*)c1ccc(cc1)COCCC,22
*C(C*)c1ccc(cc1)COCCCC,10
*C(C*)c1ccc(cc1)COCCCCO,20
*C(C*)c1ccc(cc1)COC(CC)C,40
*C(C*)c1ccc(cc1)COCCCCCC,-20
*C(C*)c1ccc(cc1)COCCOCCCC,-38
*C(C*)c1ccc(cc1)C(=O)N(C)C,125
*C(C*)c1ccc(cc1)C(=O)N(CC)CC,102
*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,114
*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,38
*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,127
*C(C*)c1ccc(cc1)C(=O)OC,122
*C(C*)c1ccc(cc1)C(=O)OCC,94
*C(C*)c1ccc(cc1)C(=O)OCCC,92
*C(C*)c1ccc(cc1)C(=O)OC(C)C,95
*C(C*)c1ccc(cc1)C(=O)OCCCC,76
*C(C*)c1ccc(cc1)C(=O)OCC(C)C,90
*C(C*)c1ccc(cc1)C(=O)OCCCCCC,66
*C(C*)c1ccc(cc1)C(=O)CC,102
*C(C*)c1ccc(cc1)C(=O)CCC,74
*C(C*)c1ccc(cc1)C(=O)CCCC,70
*C(C*)c1ccc(cc1)C(=O)CCCCC,66
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,50
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,78
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,98
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,99
*C(C*)c1ccc(cc1)F,98.23
*C(C*)c1ccc(cc1)I,155
*C(C*)c1ccc(cc1)OC,101.33
*C(C*)c1ccc(cc1)OCC,86
*C(C*)c1ccc(cc1)OCCC,70
*C(C*)c1ccc(cc1)OCCCC,52
*C(C*)c1ccc(cc1)OCCC(C)C,57
*C(C*)c1ccc(cc1)Oc1ccccc1,85
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,217
*C(C*)c1ccc(cc1)[Si](C)(C)C,136
*C(C*)c1c(cccc1Cl)Cl,165
*C(C*)c1c(cc(cc1)C)C,98.83
*C(C*)c1c(cc(cc1)Cl)C,145
*C(C*)c1c(cc(cc1)Cl)Cl,135
*C(C*)c1c(ccc(c1)C)C,143
*C(C*)c1c(ccc(c1)C(C)(C)C)C,87
*C(C*)c1c(ccc(c1)Cl)Cl,108
*C(C*)c1c(ccc(c1)Br)OCCCC,47
*C(C*)c1c(ccc(c1)Br)OCC,80
*C(C*)c1c(ccc(c1)Br)OC,86
*C(C*)c1c(ccc(c1)Br)OCCC,54
*C(C*)c1c(ccc(c1)Br)OC(C)C,35
*C(C*)c1c(ccc(c1)Br)OCCCCC,49
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,37
*C(C*)c1cc(cc(c1)C)C,104.5
*C(C*)c1cc(c(cc1)C)C,106
*C(C*)c1cc(c(cc1)Cl)C,114
*C(C*)c1cc(c(cc1)Cl)Cl,128
*C(C*)c1cc(c(cc1)Cl)F,122
*C(C*)c1c(cc(cc1C)C)C,126
*C(C*)c1c(cc(c(c1)C)C)C,104
*C(C*)c1c(c(c(c(c1F)F)F)F)F,102.15
*C(C*)(c1ccccc1)C,148.8
*C(C*)(c1ccc(cc1)C(C)C)C,134.91
*C(C(*)(F)F)(c1ccccc1)F,203.33
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,194
*C(C*)c1c2c(ccc1)cccc2,159
*C(C*)c1ccc(cc1)C(=O)C,115.5
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,41
*C(C*)(C(=O)OC)c1ccccc1,121
*C(C*)(c1ccc(cc1)C)C,175.4
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,95
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,103
*C(C*)c1ccc(cc1)B(O[Si](C)(C)C)O[Si](C)(C)C,84
*C(C*)c1cc(ccc1)B(O[Si](C)(C)C)O[Si](C)(C)C,35
*C(C*)c1cc2c(cc1)cccc2,141.83
*C(C*)c1ccncc1,160.66
*C(C*)c1nc(ccc1)C,92
*C(C*)c1ccc(nc1)C,132.25
*C(C*)n1nc2c(c1)cccc2,41.5
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,150
*C(C*)c1ccc(cc1)O,161.43
*C(C*)c1ccc(cc1)OC(=O)C,114.44
*C(C*)c1ccc(cc1)CCC,46.75
*C(C*)c1ccc(cc1)COCC(CCCC)CC,-23
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,-42
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],86.29
*C(C*)O,76.98
*C(C*)C(=O)C,83.33
*C(C*)C#N,93.96
*C(C*)(C#N)C,71.75
*C(C*)c1ncccc1,98.28
*C(C*)n1c2ccccc2c2ccccc12,210.47
*C(C*)C[Si](C)(C)C,114
*C(C*)OC,-24.96
*C(C*)OCC,-37.29
*C(C*)OCCCC,-50
*C(C*)OCCCCC,-66
*C(C*)OCCCCCC,-75.5
*C(C*)OCCCCCCCCCC,-62
*C(C*)OC(=O)C,34.27
*C(C*)OC(=O)CC,11.27
*C(C*)OC(=O)c1ccccc1,70.29
*C(C*)OCC(C)C,-21.51
*C(C*)O[N+](=O)[O-],34.5
*C=CC(C(*)C(=O)OC)C,53
*C#CC(=C(*)COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,-73
*C(C*)CC[Si](C)(C)C,132
*C(C*)OC=O,34.25
*C(C*)OC(C)C,-7.5
*C(C*)(OC)C,67
*C(C*)OC(CC)C,-26
*C(C*)OC(=O)C(F)(F)F,52.4
*C1(CC(C1)*)C#N,220
*C(C*)Cc1cc(ccc1)C,38.75
*C(C*)Cc1c(cccc1)C,80
*C(C*)Cc1ccc(cc1)C,62.5
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,116.8
*C=CC(C*)OC,-10.5
*C(=CCC*)c1ccccc1,36.62
*C(*)O,137
*C(C*)OCC(CCCC)CC,-66
*C(C*)SCCCC,-20
*C(C*)SCC,-7
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,-10
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,29
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,-60
*C(C(*)(F)F)OC(F)(F)F,-10
*C(C(*)F)(OC(F)(F)F)F,-10
*C(C(*)(F)F)(OC(F)(F)F)F,-5
*C(C*)OCC(CC)(C)C,9
*C(C*)SC,-1
*C(C*)OCCCCCCCC,-79.75
*C(C*)(C(=O)C)F,142
*C(C*)C(=O)c1ccccc1,57.25
*C(C*)C(=O)c1cc(c(cc1)Br)OC,44
*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,103.5
*C(C*)C(=O)c1ccc(cc1)Cl,63
*C(C*)C(=O)c1ccc(cc1)CC,49.25
*C(C*)C(=O)c1ccc(cc1)C(C)C,62.5
*C(C*)C(=O)c1ccc(cc1)OC,46
*C(C*)C(=O)c1cc(c(cc1)C)C,42
*C(C*)C(=O)c1ccc(cc1)CCC,44
*C(C*)C(=O)c1ccc(cc1)C,59.5
*C(C*)OC(=O)c1c(cccc1)OC(=O)C,59.5
*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,76
*C(C*)OC(=O)CCCC(=O)c1ccccc1,45
*C(C*)OC(=O)c1cc(ccc1)Br,57.5
*C(C*)OC(=O)c1ccc(cc1)Br,85.5
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,61
*C(C*)OC(=O)c1c(cccc1)Cl,55.75
*C(C*)OC(=O)c1cc(ccc1)Cl,61.75
*C(C*)OC(=O)c1ccc(cc1)Cl,70.25
*C(C*)OC(=O)C1CCCCC1,58.88
*C(C*)OC(=O)CC1CCCCC1,25
*C(C*)OC(=O)CCCC1CCCCC1,-10
*C(C*)OC(=O)c1ccc(cc1)OCC,70
*C(C*)OC(=O)c1ccc(cc1)CC,54.72
*C(C*)OC(=O)C(C(C)(C)C)(CC)C,115
*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,27
*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,54
*C(C*)NC(=O)OC(C)(C)C,120
*C(C*)OC(=O)C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-19
*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-9
*C(C*)OC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-12.5
*C(C*)OC(=O)C(C(F)(F)F)(F)F,42
*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,17.5
*C(C*)OC(=O)c1ccncc1,98.5
*C(C*)OC(=O)c1ccc(cc1)C(C)C,65.65
*C(C*)OC(=O)C(C(C)C)(C(C)C)C,120
*C(C*)OC(=O)c1c(cccc1)OC,65
*C(C*)OC(=O)c1cc(ccc1)OC,44
*C(C*)OC(=O)c1ccc(cc1)OC,73.83
*C(C*)OC(=O)c1c(cccc1)C,42.5
*C(C*)OC(=O)c1cc(ccc1)C,49
*C(C*)OC(=O)c1ccc(cc1)C,66.75
*C(C*)OC(=O)CC(c1ccccc1)(C)C,20
*C(C*)OC(=O)c1cc(ccc1)[Si](C)(C)C,80
*C(C*)OC(=O)c1ccc(cc1)[Si](C)(C)C,125.25
*C(C*)OC(=O)C(CCC)(C)C,10
*C(C*)OC(=O)C(C(CC)(C)C)(C)C,90
*C(C*)OC(=O)C(C(C(C)C)C)(C)C,50
*C(C*)OC(=O)C(CC(C)(C)C)(C)C,55
*C(C*)OC(=O)c1cnccc1,86.5
*C(C*)OC(=O)c1cc(ccc1)[N+](=O)[O-],93
*C(C*)OC(=O)c1ccc(cc1)[N+](=O)[O-],122
*C(C*)OC(=O)c1ccc(cc1)c1ccccc1,84.5
*C(C*)OC(=O)C(C)(C)C,86
*C(C*)OC(=O)c1ccc(cc1)OC(=O)CC,71.5
*C(C*)OC(=O)CCCC(=O)c1ccc(cc1)C,40
*C(C*)C1=NC(C(=O)O1)(C)C,92
*C(C*)(C1=NC(C(=O)O1)(C)C)C,165
*C(C*)OC(=O)CCC,-10.1
*C(C*)OC(C(F)(F)F)(C(F)(F)F)F,60
*C(C*)OC(=O)CCl,18.99
*C(C*)c1sccc1,71
*C(C*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,-23.67
*C(C*)OC(=O)C1CCCC1,36
*C(C*)OC(=O)C1(CCCCC1)C,86
*C(C*)P(=O)(c1ccccc1)c1ccccc1,127.5
*C(C*)P(=O)(OCC)N(C)C,32
*C(C*)P(=O)(N(C)C)Oc1ccccc1,27
*C(C*)c1nc(nc(n1)C)C,70
*C1c2c(CC1*)cccc2,200
*C(=C(*)C)c1ccccc1,200
*C1C(=O)OC(=O)C1C(C*)OC,170.2
*C(C(C(C*)OC)C(=O)O)C(=O)O,134.67
*C(=CCCC*)c1ccc(cc1)OC,11
*C(=CCCC*)c1ccccc1,0
*C(=CCCC*)c1ccc(cc1)Cl,16
*C(=C(*)C)[Si](C)(C)C,198.3
*C(C*)CNc1ccc(cc1)[N+](=O)[O-],140.25
*C(C*)CNc1ncc(cc1)[N+](=O)[O-],151
*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])C,151
*C(C*)CNc1cc(c(cc1)[N+](=O)[O-])C(F)(F)F,153
*C(C*)CNc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-],160
*C1C(C(C(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,14.5
*C1C(CC(C1)C*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,30.5
*C1C(CC(C1)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)CC*,24
*C(C*)n1cncc1,167.93
*C(C(*)(F)F)(OC(C(F)F)F)F,35
*C(C*)C(=O)c1ccc(cc1)Br,101.5
*C(C*)OC(=O)CC1CCCC1,-3
*C(C*)N1C(=O)CCC1,143.16
*C1C(C2C(C1)C(C(C2)CC*)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,23.5
*C(C*)C(=O)O,112.62
*C(C*)C(=O)OC,10.78
*C(C*)C(=O)OCC,-9.27
*C(C*)C(=O)OCCC,-41.5
*C(C*)C(=O)OC(C)C,-8.38
*C(C*)C(=O)OCCCC,-31.07
*C(C*)C(=O)OCC(C)C,25
*C(C*)C(=O)OC(CC)C,-20.4
*C(C*)C(=O)OC(C)(C)C,40.66
*C(C*)C(=O)OCCCCCC,-57
*C(C*)C(=O)OCCCCCCC,-60
*C(C*)C(=O)OCCCCCCCC,-65
*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,-42.5
*C(C*)C(=O)OC1C2(CCC(C1)C2(C)C)C,98.6
*C(C*)C(=O)OCC(F)(F)F,0.97
*C(C*)C(=O)OCC(C(F)(F)F)(F)F,-26
*C(C*)C(=O)OC(C(F)(F)F)C(F)(F)F,24.06
*C(C*)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,7.5
*C(C*)C(=O)OCC(C(F)C(F)(F)F)(F)F,-22
*C(C*)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,-30
*C(C*)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-37
*C(C*)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-39
*C(C*)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-17
*C(C*)C(=O)OCCOC,-41.67
*C(C*)C(=O)OCCOCC,-50
*C(C*)C(=O)OCCCOC,-66.5
*C(C*)C(=O)OCCCOCC,-61.5
*C(C*)C(=O)OCCOCC(F)(F)F,-38
*C(C*)C(=O)OCCOC(C(F)F)(F)F,-22
*C(C*)C(=O)OCCOCC(C(C(F)(F)F)(F)F)(F)F,-45
*C(C*)C(=O)OCC(C(OC(F)(F)F)(F)F)(F)F,-55
*C(C*)C(=O)OCC(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,-49
*C(C*)C(=O)OCC(C(OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-68
*C(C*)(C(=O)O)C,182.64
*C(C*)(C(=O)OC)C,103.23
*C(C*)(C(=O)OCC)C,64.96
*C(C*)(C(=O)OCCC)C,44.92
*C(C*)(C(=O)OC(C)C)C,72.71
*C(C*)(C(=O)OCCCC)C,28.5
*C(C*)(C(=O)OC(CC)C)C,59.67
*C(C*)(C(=O)OCC(C)C)C,54.04
*C(C*)(C(=O)OC(C)(C)C)C,101.25
*C(C*)(C(=O)OCCCCCC)C,-7.25
*C(C*)(C(=O)OCCCCCCCC)C,-10
*C(C*)(C(=O)OCCCCCCCCCCCC)C,-44.99
*C(C*)(C(=O)OCCCCCCCCCCCCCC)C,-72
*C(C*)(C(=O)OCCCCCCCCCCCCCCCCCC)C,-103.33
*C(C*)(C(=O)OC1CCCCC1)C,89.76
*C(C*)(C(=O)OC1C(CCCC1)C)C,85
*C(C*)(C(=O)OC1CCC(CC1)C)C,109
*C(C*)(C(=O)OC1CC(CCC1)C)C,89
*C(C*)(C(=O)OC1CC(CC(C1)C)(C)C)C,125
*C(C*)(C(=O)Oc1ccccc1)C,111.1
*C(C*)(C(=O)OCc1ccccc1)C,57.45
*C(C*)(C(=O)OCCc1ccccc1)C,49
*C(C*)(C(=O)OCCF)C,90
*C(C*)(C(=O)OCCCl)C,62
*C(C*)(C(=O)OCCBr)C,52
*C(C*)(C(=O)OCC(F)(F)F)C,78.27
*C(C*)(C(=O)OCC(C(F)F)(F)F)C,80
*C(C*)(C(=O)OC(C(F)(F)F)C(F)(F)F)C,73
*C(C*)(C(=O)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)C,110
*C(C*)(C(=O)OCc1c(cccc1)Cl)C,54.1
*C(C*)(C(=O)OCCO)C,83.78
*C(C*)(C(=O)OCC1OCCC1)C,105
*C(C*)(C(=O)OCc1occc1)C,111
*C(C*)(C(=O)OCCN(C)C)C,24.75
*C(C*)(C(=O)OCCN(CC)CC)C,26
*C(C*)(C(=O)OC)Cl,125
*C(C*)(C(=O)OCC)Cl,85.31
*C(C*)C(=O)N,178.5
*C(C*)C(=O)NC(C)C,132.69
*C(C*)C(=O)OC(CC)CC,-6
*C(C*)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,-35
*C(C*)C(=O)OCC(CCCC)CC,-62.58
*C(C*)C(=O)OCCCCCCCCC,-89
*C(C*)C(=O)OC1CCCCC1,23.69
*C(C*)C(=O)OC1CC(CC(C1)C)(C)C,15
*C(C*)(C(=O)OCCCCCCCCCC)C,-64.5
*C(C*)(C(=O)OC1C2(CCC(C1)C2(C)C)C)C,149.83
*C(C*)(C(=O)OCCC)Cl,66
*C(C*)(C(=O)OCCCC)Cl,42
*C(C*)(C(=O)OC)C#N,130
*C(C*)C(=O)OCC(CC)C,-32
*C(C*)C(=O)OCC(C)(C)C,22
*C(C*)C(=O)OCCC#N,4
*C(C*)C(=O)OCF,15
*C(C*)C(=O)OCCOCCOC(C(F)F)(F)F,-40
*C(C*)C(=O)OCCSC,-60
*C(C*)C(=O)OCCCSC,-65
*C(C*)C(=O)OCCSCC,-71
*C(C*)C(=O)OCCCCSC,-70
*C(C*)C(=O)OCCCSCC,-76
*C(C*)C(=O)OCCSCC#N,-24
*C(C*)C(=O)OCCSCCC#N,-50
*C(C*)C(=O)OCCSCCCC#N,-58
*C(C*)C(=O)OCCCSCCC#N,-58
*C(C*)C(=O)OCCCCCCSCC#N,-59
*C(C*)C(=O)OC12CC3(CC(CC(C1)C3)(C2)C)C,103.43
*C(C*)C(=O)N1CCCCC1,108
*C(C*)C(=O)N1CCOCC1,133
*C(C*)C(=O)Oc1ccccc1,101.83
*C(C*)C(=O)Oc1c(cccc1)C,51.5
*C(C*)C(=O)Oc1cc(ccc1)C,24.5
*C(C*)C(=O)Oc1ccc(cc1)C,42.5
*C(C*)C(=O)Oc1c(cccc1)C(C)(C)C,72
*C(C*)C(=O)Oc1ccc(cc1)C(C)(C)C,71
*C(C*)C(=O)Oc1ccc(cc1)OC,49.67
*C(C*)C(=O)Oc1c(cccc1)C(=O)OC,46
*C(C*)C(=O)Oc1c(cccc1)C(=O)OCC,30
*C(C*)C(=O)Oc1cc(ccc1)C(=O)OC,38
*C(C*)C(=O)Oc1cc(ccc1)C(=O)OCC,24
*C(C*)C(=O)Oc1ccc(cc1)C(=O)OC,67
*C(C*)C(=O)Oc1ccc(cc1)C(=O)OCC,37
*C(C*)C(=O)Oc1ccc(cc1)C(=O)OCCCC,13
*C(C*)C(=O)Oc1ccc(cc1)c1ccccc1,105
*C(C*)C(=O)OCc1ccccc1,9.25
*C(C*)C(=O)OCCc1ccccc1,-3
*C(C*)C(=O)Oc1cc(ccc1)N(C)C,47
*C(C*)C(=O)Oc1ccc(cc1)C#N,92
*C(C*)C(=O)OCc1ccc(cc1)C#N,44
*C(C*)C(=O)Oc1c(cccc1)Cl,146.33
*C(C*)C(=O)Oc1c(cc(cc1)Cl)Cl,60
*C(C*)C(=O)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,145
*C(C*)C(=O)Oc1c2c(ccc1)cccc2,85
*C(C*)C(=O)N(C)C,113.45
*C(C*)C(=O)NC(C)(C)C,135
*C(C*)(C(=O)OCCCCC)C,6
*C(C*)(C(=O)OCC(CCCC)CC)C,-10
*C(C*)(C(=O)OCCC(C)(C)C)C,45
*C(C*)(C(=O)OC(C(C)(C)C)C)C,108
*C(C*)(C(=O)OCCC(CC(C)(C)C)C)C,1
*C(C*)(C(=O)OCCOC)C,22.75
*C(C*)(C(=O)OCCOCCO)C,18.12
*C(C*)(C(=O)OCC(O)C)C,72.67
*C(C*)(C(=O)OCC(CO)O)C,84.4
*C(C*)(C(=O)OCCNC(C)(C)C)C,41
*C(C*)(C(=O)OCCC#N)C,79
*C(C*)(C(=O)OCCO[N+](=O)[O-])C,55
*C(C*)(C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)C,36.67
*C(C*)(C(=O)OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,49
*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,-15
*C(C*)(C(=O)OCCS(=O)CC)C,25
*C(C*)(C(=O)O[Si](C)(C)C)C,97.5
*C(C*)(C(=O)OCC1(COCOC1)C)C,142
*C(C*)(C(=O)OCC1(COC(OC1)(C)C)C)C,104
*C(C*)(C(=O)OCC(C1OCC(CO1)(C)C)(C)C)C,111
*C(C*)(C(=O)OC12CC3CC(CC(C1)C3)C2)C,183
*C(C*)(C(=O)OC12CC3(CC(CC(C1)C3)(C2)C)C)C,193
*C(C*)(C(=O)Oc1ccc(cc1)CC#N)C,128
*C(C*)(C(=O)Oc1ccc(cc1)C(=O)OC)C,106
*C(C*)(C(=O)OCC)CC,27
*C(C*)(CC(=O)OCC)C(=O)OCC,63.17
*C(C*)(CC(=O)OCCCC)C(=O)OCCCC,22.38
*C(C*)(C(=O)OCCCC)C#N,93.75
*C(C*)(C(=O)OC)F,142
*C(C*)(C(=O)OCC)CF,43
*C(C*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,142
*C(C*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,83
*C(C*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,48
*C(C*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,7
*C(C*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,132
*C(C*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,55
*C(C*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,35
*C(C*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,-8
*C(C*)C(=O)Oc1ccc(cc1)Cl,148.67
*C(C*)(C(=O)Oc1ccc(cc1)C#N)C,155
*C(C*)C(=O)OCC(C(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-68
*C(C*)C(=O)OCCC(OC)C,-56
*C(C*)(C(=O)OC1CCC(CC1)C(C)(C)C)C,122.36
*C(C*)(C(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,12.5
